,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction_v2
124160,125464,Female,Loyal Customer,50.0,Business travel,Business,2917,1,2,2,2,1.0,1.0,1,3,3,3,4.0,1,1,1,0,0.0,1
12190,12347,Male,Loyal Customer,52.0,Business travel,Business,2584,2,2,2,2,2.0,2.0,2,2,2,1,2.0,1,2,2,0,0.0,1
112465,113718,Male,Loyal Customer,62.0,Personal Travel,Eco,397,5,1,5,1,2.0,5.0,2,2,3,2,2.0,4,1,2,3,0.0,0
29289,29552,Male,Loyal Customer,33.0,Business travel,Business,1448,5,5,4,5,3.0,5.0,3,3,4,2,1.0,1,3,3,0,0.0,0
99129,100382,Female,Loyal Customer,24.0,Personal Travel,Eco,1011,3,1,3,3,5.0,3.0,3,5,2,5,4.0,3,3,5,9,13.0,1
88146,89399,Male,Loyal Customer,33.0,Business travel,Business,3362,4,4,4,4,5.0,5.0,4,5,3,3,5.0,3,5,5,5,0.0,0
49391,50444,Male,Loyal Customer,32.0,Business travel,Business,2072,2,1,1,1,2.0,3.0,2,2,1,1,4.0,2,3,2,0,0.0,1
29953,30270,Male,Loyal Customer,25.0,Business travel,Business,1805,2,3,3,3,2.0,2.0,2,2,3,1,3.0,3,4,2,8,0.0,1
49862,51023,Female,disloyal Customer,18.0,Personal Travel,Eco,266,5,0,5,1,2.0,5.0,2,2,4,5,5.0,3,5,2,0,0.0,0
106836,108089,Male,Loyal Customer,47.0,Business travel,Business,3763,2,3,2,2,5.0,5.0,5,5,5,5,5.0,5,5,5,49,48.0,0
112868,114121,Male,Loyal Customer,37.0,Personal Travel,Business,850,2,3,2,1,4.0,1.0,3,1,1,2,1.0,3,1,4,3,0.0,1
113567,114820,Female,Loyal Customer,56.0,Business travel,Business,447,5,5,5,5,2.0,4.0,5,4,4,4,4.0,4,4,3,4,0.0,0
10915,11059,Male,Loyal Customer,14.0,Personal Travel,Eco,140,3,3,3,3,3.0,3.0,3,3,2,4,1.0,2,2,3,29,24.0,1
52194,53440,Female,Loyal Customer,27.0,Business travel,Eco,2419,4,2,2,2,4.0,5.0,4,4,2,1,3.0,2,5,4,0,0.0,0
1382,1472,Male,Loyal Customer,64.0,Personal Travel,Eco,772,3,5,3,2,3.0,3.0,3,3,5,3,5.0,5,4,3,0,0.0,1
22943,23188,Female,Loyal Customer,24.0,Personal Travel,Eco,250,3,3,3,4,2.0,3.0,1,2,1,2,3.0,4,4,2,4,17.0,1
64711,65957,Female,disloyal Customer,44.0,Business travel,Business,1372,4,4,4,3,2.0,4.0,2,2,3,3,5.0,4,5,2,12,0.0,0
51840,53086,Female,Loyal Customer,69.0,Personal Travel,Eco,2327,0,5,0,3,5.0,4.0,4,5,5,0,5.0,2,5,3,9,0.0,0
12752,12909,Female,Loyal Customer,59.0,Business travel,Business,794,5,3,3,3,5.0,3.0,2,5,5,4,5.0,3,5,3,0,5.0,1
126419,127723,Female,disloyal Customer,25.0,Business travel,Business,601,4,0,4,4,2.0,4.0,3,2,5,3,4.0,5,4,2,0,0.0,0
117738,118991,Female,Loyal Customer,52.0,Business travel,Business,479,2,2,2,2,5.0,4.0,4,4,4,4,4.0,3,4,5,36,28.0,0
83166,84419,Male,Loyal Customer,65.0,Personal Travel,Eco,606,1,4,1,4,2.0,1.0,2,2,4,5,4.0,3,3,2,6,8.0,1
59001,60247,Female,Loyal Customer,32.0,Personal Travel,Eco,1506,3,5,3,4,2.0,3.0,2,2,4,4,4.0,4,4,2,0,0.0,1
87400,88653,Female,Loyal Customer,55.0,Personal Travel,Eco,646,3,2,3,4,4.0,3.0,4,5,5,3,5.0,4,5,3,0,3.0,1
104128,105381,Female,Loyal Customer,39.0,Business travel,Business,1779,2,5,3,5,3.0,4.0,4,2,2,2,2.0,3,2,2,27,17.0,1
114729,115982,Male,Loyal Customer,67.0,Personal Travel,Eco,333,4,5,2,2,5.0,2.0,5,5,5,3,5.0,3,4,5,74,66.0,1
119735,121009,Female,Loyal Customer,68.0,Personal Travel,Eco,861,1,5,1,2,3.0,4.0,4,5,5,1,5.0,4,5,3,0,0.0,1
99752,101005,Male,Loyal Customer,49.0,Business travel,Business,2635,5,5,5,5,3.0,4.0,4,4,4,4,4.0,5,4,5,0,0.0,0
57072,58318,Female,Loyal Customer,46.0,Business travel,Eco,1739,1,3,3,3,4.0,3.0,2,1,1,1,1.0,1,1,3,36,4.0,1
80806,82056,Female,disloyal Customer,35.0,Business travel,Eco Plus,1522,2,2,2,2,2.0,2.0,2,2,2,2,1.0,4,2,2,1,0.0,1
13835,13992,Male,Loyal Customer,37.0,Business travel,Eco,160,5,3,3,3,5.0,5.0,5,5,2,1,1.0,4,4,5,0,0.0,0
696,733,Female,Loyal Customer,57.0,Business travel,Business,354,0,0,0,3,3.0,5.0,5,4,4,3,3.0,3,4,3,0,0.0,0
83900,85153,Male,disloyal Customer,28.0,Business travel,Business,874,0,0,0,4,3.0,0.0,3,3,4,5,5.0,4,4,3,0,0.0,0
56266,57512,Female,Loyal Customer,53.0,Business travel,Business,2372,1,1,1,1,2.0,4.0,5,4,4,4,5.0,2,4,4,33,52.0,0
122755,124046,Male,Loyal Customer,30.0,Business travel,Eco Plus,184,1,2,2,2,1.0,1.0,1,1,1,1,4.0,2,3,1,0,11.0,1
46373,47186,Female,Loyal Customer,49.0,Business travel,Business,1926,2,2,2,2,5.0,1.0,3,4,4,4,4.0,5,4,4,0,0.0,0
89845,91098,Female,Loyal Customer,18.0,Personal Travel,Eco,271,3,4,3,2,2.0,3.0,3,2,3,4,5.0,5,4,2,0,2.0,1
101978,103231,Male,Loyal Customer,35.0,Business travel,Eco Plus,351,3,3,3,3,2.0,3.0,3,4,3,2,3.0,3,2,3,138,133.0,1
26012,26275,Male,Loyal Customer,41.0,Business travel,Eco,459,3,3,3,3,3.0,3.0,3,3,1,5,4.0,1,4,3,7,0.0,0
86546,87799,Female,Loyal Customer,44.0,Business travel,Business,2665,5,5,5,5,2.0,4.0,5,5,5,5,4.0,5,5,4,2,0.0,0
126594,127898,Male,Loyal Customer,40.0,Business travel,Business,1671,3,3,3,3,2.0,5.0,5,4,4,4,4.0,3,4,5,0,0.0,0
112959,114212,Female,disloyal Customer,46.0,Business travel,Eco,862,3,3,3,4,3.0,3.0,3,3,1,3,4.0,4,4,3,0,0.0,1
105510,106763,Female,Loyal Customer,39.0,Personal Travel,Eco,837,1,4,1,1,4.0,1.0,4,4,4,4,5.0,4,4,4,0,2.0,1
108781,110034,Female,disloyal Customer,29.0,Business travel,Business,1422,0,0,0,1,1.0,0.0,3,1,3,5,5.0,4,4,1,46,54.0,0
45461,46215,Male,Loyal Customer,45.0,Business travel,Business,594,4,4,4,4,1.0,4.0,2,4,4,4,4.0,3,4,1,0,0.0,0
112666,113919,Male,Loyal Customer,41.0,Business travel,Eco,170,5,5,2,5,5.0,5.0,5,5,1,1,2.0,1,3,5,0,0.0,0
50048,51250,Male,Loyal Customer,53.0,Business travel,Eco Plus,373,4,1,1,1,4.0,4.0,4,4,2,3,5.0,3,3,4,0,0.0,0
6943,7047,Male,Loyal Customer,24.0,Personal Travel,Eco Plus,299,4,5,4,5,3.0,4.0,4,3,5,5,4.0,5,5,3,10,11.0,1
128080,129384,Female,Loyal Customer,33.0,Personal Travel,Eco,2454,1,5,0,3,3.0,0.0,3,3,5,4,5.0,3,5,3,0,0.0,1
118356,119609,Female,Loyal Customer,40.0,Personal Travel,Eco,1979,4,5,4,3,4.0,4.0,4,4,2,4,1.0,2,5,4,0,3.0,1
119338,120600,Female,Loyal Customer,47.0,Personal Travel,Eco,980,2,4,1,3,3.0,4.0,4,1,1,1,1.0,5,1,4,0,0.0,1
21796,22001,Female,Loyal Customer,44.0,Personal Travel,Eco,500,2,1,2,4,3.0,4.0,4,4,4,2,4.0,4,4,1,0,0.0,1
42616,43281,Male,Loyal Customer,44.0,Business travel,Business,3660,3,3,4,3,4.0,2.0,3,5,5,5,5.0,1,5,5,0,0.0,0
12715,12872,Female,Loyal Customer,31.0,Business travel,Business,3927,1,1,1,1,5.0,5.0,5,5,2,2,2.0,4,3,5,0,0.0,0
916,972,Male,Loyal Customer,44.0,Business travel,Business,3876,2,2,2,2,3.0,5.0,5,5,5,5,4.0,3,5,4,0,0.0,0
61502,62748,Female,Loyal Customer,47.0,Business travel,Business,2338,4,4,4,4,4.0,3.0,4,4,4,4,4.0,3,4,4,0,0.0,0
124337,125641,Female,Loyal Customer,39.0,Business travel,Business,2984,4,2,4,4,3.0,5.0,5,4,4,4,4.0,3,4,4,5,0.0,0
81326,82579,Female,Loyal Customer,31.0,Business travel,Business,528,2,5,5,5,2.0,2.0,2,2,3,2,3.0,1,3,2,0,0.0,1
120730,122005,Female,Loyal Customer,59.0,Business travel,Business,130,2,2,2,2,3.0,4.0,4,3,3,4,5.0,3,3,4,18,23.0,0
6372,6476,Female,Loyal Customer,67.0,Personal Travel,Eco Plus,315,1,5,5,2,3.0,5.0,4,4,4,5,4.0,5,4,1,0,0.0,1
23319,23564,Female,Loyal Customer,41.0,Business travel,Eco Plus,770,1,2,2,2,3.0,3.0,4,1,1,1,1.0,2,1,1,15,15.0,1
26315,26578,Male,Loyal Customer,27.0,Business travel,Eco,581,4,1,1,1,4.0,4.0,4,4,3,3,3.0,2,1,4,0,0.0,0
57712,58958,Male,Loyal Customer,40.0,Business travel,Business,1846,1,1,1,1,4.0,4.0,5,5,5,5,5.0,3,5,5,27,13.0,0
91961,93214,Female,disloyal Customer,22.0,Business travel,Eco,1845,3,3,3,4,2.0,3.0,2,2,4,1,4.0,3,4,2,31,15.0,1
72916,74162,Male,Loyal Customer,57.0,Personal Travel,Eco,592,1,5,1,1,5.0,1.0,2,5,5,1,2.0,2,4,5,25,27.0,1
38155,38745,Female,Loyal Customer,39.0,Business travel,Eco,354,3,4,4,4,3.0,3.0,3,3,2,3,3.0,2,3,3,0,0.0,1
17201,17375,Male,Loyal Customer,8.0,Business travel,Business,533,1,1,5,1,1.0,1.0,1,1,4,2,4.0,1,4,1,0,0.0,1
99917,101170,Male,disloyal Customer,19.0,Business travel,Eco,1235,2,2,2,2,4.0,2.0,3,4,1,5,2.0,1,2,4,82,59.0,1
50451,51697,Male,disloyal Customer,47.0,Business travel,Eco,425,3,0,3,2,1.0,3.0,2,1,4,5,2.0,1,3,1,0,0.0,1
39443,40107,Female,Loyal Customer,41.0,Business travel,Eco,368,5,4,4,4,5.0,5.0,5,5,4,2,3.0,5,1,5,0,0.0,0
24425,24688,Female,disloyal Customer,27.0,Business travel,Eco,761,2,2,2,3,3.0,2.0,5,3,4,2,3.0,5,3,3,0,5.0,1
75600,76846,Male,Loyal Customer,49.0,Business travel,Business,1777,4,4,4,4,5.0,5.0,5,4,4,4,4.0,4,4,4,1,1.0,0
77330,78577,Female,Loyal Customer,40.0,Business travel,Business,630,4,5,5,5,1.0,2.0,2,4,4,4,4.0,3,4,4,0,0.0,1
122069,123349,Male,disloyal Customer,25.0,Business travel,Business,644,2,5,3,2,3.0,3.0,3,3,3,5,5.0,4,4,3,0,0.0,1
31181,31498,Female,Loyal Customer,16.0,Business travel,Business,3494,3,1,1,1,3.0,3.0,3,3,1,2,3.0,2,4,3,0,0.0,1
36557,37147,Female,disloyal Customer,25.0,Business travel,Eco,1189,2,2,2,3,2.0,2.0,2,2,4,3,3.0,4,3,2,0,0.0,1
48770,49710,Male,Loyal Customer,58.0,Business travel,Business,1995,0,5,0,1,5.0,3.0,5,3,3,3,3.0,2,3,1,0,0.0,0
64792,66038,Female,Loyal Customer,52.0,Business travel,Business,1345,4,4,4,4,5.0,4.0,5,5,5,5,5.0,3,5,3,0,1.0,0
2334,2425,Male,Loyal Customer,15.0,Personal Travel,Eco,604,3,3,3,1,3.0,3.0,3,3,5,5,1.0,5,3,3,0,10.0,1
70342,71588,Male,Loyal Customer,33.0,Business travel,Business,2361,4,4,5,4,4.0,4.0,4,4,2,3,2.0,2,3,4,8,10.0,1
58544,59790,Female,Loyal Customer,33.0,Business travel,Business,927,5,5,5,5,2.0,4.0,5,5,5,5,5.0,3,5,3,15,0.0,0
68674,69920,Female,Loyal Customer,32.0,Personal Travel,Eco,1514,2,5,3,2,3.0,3.0,3,3,5,3,4.0,4,4,3,0,0.0,1
110211,111464,Male,Loyal Customer,31.0,Personal Travel,Eco,836,2,3,2,2,4.0,2.0,2,4,3,1,2.0,2,3,4,12,16.0,1
23315,23560,Male,Loyal Customer,57.0,Personal Travel,Eco,770,4,5,4,1,4.0,4.0,2,4,5,2,4.0,5,5,4,17,37.0,0
7699,7803,Male,Loyal Customer,29.0,Business travel,Business,1606,3,3,5,3,5.0,5.0,5,5,3,5,5.0,5,5,5,0,0.0,0
27012,27275,Male,Loyal Customer,42.0,Personal Travel,Business,1050,2,4,2,4,2.0,5.0,5,3,3,2,3.0,4,3,3,0,28.0,1
12427,12584,Female,Loyal Customer,49.0,Business travel,Eco,542,5,5,5,5,1.0,2.0,2,5,5,5,5.0,5,5,3,0,0.0,0
111860,113113,Male,Loyal Customer,45.0,Personal Travel,Eco,543,2,5,3,3,1.0,3.0,1,1,3,5,5.0,4,5,1,0,0.0,1
63772,65018,Female,Loyal Customer,43.0,Business travel,Business,469,4,1,1,1,2.0,3.0,4,4,4,4,4.0,2,4,4,99,99.0,1
19508,19700,Female,disloyal Customer,25.0,Business travel,Eco,409,2,4,2,2,1.0,2.0,1,1,2,3,4.0,1,5,1,108,98.0,1
119373,120635,Male,Loyal Customer,49.0,Business travel,Business,1796,5,5,2,5,5.0,5.0,5,4,4,4,4.0,5,4,4,0,0.0,0
92476,93729,Male,Loyal Customer,17.0,Personal Travel,Eco,630,1,5,1,2,1.0,2.0,2,4,3,5,5.0,2,4,2,156,157.0,1
100889,102142,Female,Loyal Customer,59.0,Business travel,Business,407,2,2,4,2,5.0,5.0,5,5,5,5,4.0,5,5,5,172,168.0,0
104708,105961,Male,Loyal Customer,36.0,Business travel,Business,2329,4,1,2,1,4.0,4.0,4,4,1,4,4.0,4,4,4,0,13.0,1
23254,23499,Female,Loyal Customer,46.0,Business travel,Eco,303,4,2,2,2,2.0,1.0,1,3,3,4,3.0,2,3,1,26,21.0,1
103453,104706,Male,Loyal Customer,49.0,Business travel,Business,2240,1,1,3,1,3.0,4.0,5,5,5,5,4.0,3,5,5,52,31.0,0
67285,68531,Male,Loyal Customer,25.0,Business travel,Business,1013,4,2,4,4,4.0,5.0,4,4,3,5,4.0,3,5,4,0,0.0,0
109380,110633,Male,Loyal Customer,39.0,Personal Travel,Eco,719,1,4,1,2,3.0,1.0,4,3,3,3,4.0,3,5,3,9,8.0,1
105363,106616,Male,Loyal Customer,29.0,Business travel,Business,1216,1,5,4,5,1.0,2.0,1,1,1,5,3.0,4,3,1,0,0.0,1
39408,40072,Male,Loyal Customer,56.0,Business travel,Eco,493,5,2,5,5,5.0,5.0,5,5,2,3,3.0,5,1,5,0,0.0,0
85010,86263,Female,Loyal Customer,15.0,Personal Travel,Eco,356,2,1,2,3,2.0,4.0,4,3,4,4,4.0,4,3,4,254,239.0,1
67550,68796,Male,Loyal Customer,43.0,Business travel,Business,621,3,3,3,3,1.0,4.0,3,3,3,3,3.0,3,3,3,16,19.0,1
111752,113005,Male,Loyal Customer,26.0,Personal Travel,Eco,1751,2,4,2,3,2.0,2.0,2,2,3,4,5.0,1,3,2,9,0.0,1
107793,109046,Male,Loyal Customer,32.0,Business travel,Eco,994,2,4,4,4,2.0,2.0,2,2,1,3,3.0,1,3,2,0,0.0,1
127544,128848,Female,Loyal Customer,54.0,Personal Travel,Eco,2475,2,4,1,3,1.0,2.0,4,4,3,3,3.0,4,1,4,19,9.0,1
99065,100318,Male,Loyal Customer,41.0,Business travel,Business,1073,4,4,4,4,5.0,5.0,5,2,2,2,2.0,3,2,4,0,0.0,0
55670,56916,Male,Loyal Customer,43.0,Business travel,Business,2454,2,2,2,2,3.0,4.0,5,4,4,4,4.0,3,4,5,13,0.0,0
23144,23389,Male,Loyal Customer,38.0,Business travel,Eco,300,3,3,5,3,3.0,3.0,3,3,1,2,3.0,4,3,3,0,0.0,1
102838,104091,Female,Loyal Customer,37.0,Business travel,Business,2242,3,2,2,2,3.0,3.0,3,3,3,3,3.0,2,3,1,1,0.0,1
3540,3631,Male,Loyal Customer,58.0,Business travel,Business,1885,2,2,2,2,4.0,5.0,5,4,4,4,4.0,5,4,3,0,0.0,0
127130,128434,Female,Loyal Customer,59.0,Business travel,Eco,338,2,1,1,1,4.0,3.0,3,3,3,2,3.0,1,3,4,0,0.0,1
55266,56512,Male,Loyal Customer,55.0,Business travel,Business,937,5,5,5,5,3.0,5.0,4,4,4,5,4.0,3,4,3,18,6.0,0
27515,27778,Female,Loyal Customer,30.0,Business travel,Business,1448,4,4,4,4,4.0,4.0,4,4,1,5,4.0,2,1,4,0,0.0,0
103731,104984,Female,disloyal Customer,27.0,Business travel,Business,337,3,3,3,3,3.0,3.0,3,3,3,5,5.0,3,4,3,5,1.0,1
21529,21734,Female,Loyal Customer,44.0,Business travel,Business,563,1,1,1,1,3.0,4.0,5,2,2,3,2.0,2,2,3,4,0.0,0
65680,66926,Male,Loyal Customer,59.0,Business travel,Business,3892,4,4,5,4,2.0,5.0,5,5,5,5,5.0,4,5,5,0,33.0,0
75750,76996,Female,Loyal Customer,59.0,Business travel,Business,368,5,5,5,5,5.0,4.0,4,5,5,5,5.0,4,5,4,0,0.0,0
124117,125421,Female,Loyal Customer,51.0,Business travel,Business,735,4,4,5,4,3.0,4.0,4,4,4,4,4.0,3,4,4,0,0.0,0
73472,74718,Male,Loyal Customer,50.0,Personal Travel,Eco,1205,5,3,5,4,2.0,5.0,3,2,2,3,4.0,1,3,2,21,4.0,0
68717,69963,Male,Loyal Customer,36.0,Personal Travel,Eco Plus,2174,5,1,5,3,2.0,5.0,2,2,3,5,3.0,1,3,2,9,0.0,0
103737,104990,Female,Loyal Customer,51.0,Personal Travel,Eco,337,1,1,1,3,2.0,3.0,3,3,3,1,3.0,2,3,2,13,4.0,1
19310,19502,Male,Loyal Customer,47.0,Business travel,Eco,566,3,4,4,4,3.0,3.0,3,3,4,1,3.0,4,3,3,0,0.0,1
89745,90998,Male,Loyal Customer,20.0,Personal Travel,Eco,271,3,0,3,2,2.0,3.0,5,2,4,2,5.0,5,5,2,0,0.0,1
107236,108489,Female,Loyal Customer,35.0,Business travel,Eco,570,2,2,2,2,2.0,2.0,2,2,1,3,4.0,3,4,2,2,0.0,1
33542,34130,Female,Loyal Customer,26.0,Business travel,Business,1583,4,4,1,4,4.0,4.0,4,4,3,1,4.0,4,5,4,9,0.0,0
41810,42474,Female,Loyal Customer,57.0,Business travel,Business,429,5,5,3,5,1.0,2.0,1,4,4,4,4.0,1,4,3,0,0.0,0
58587,59833,Female,disloyal Customer,23.0,Business travel,Eco,1085,5,5,5,3,2.0,5.0,2,2,3,5,5.0,3,4,2,12,3.0,0
76478,77724,Male,Loyal Customer,62.0,Business travel,Business,2185,2,5,5,5,4.0,4.0,4,2,2,2,2.0,1,2,3,99,85.0,1
43591,44275,Female,disloyal Customer,25.0,Business travel,Eco Plus,118,4,0,4,1,4.0,4.0,4,4,4,5,1.0,1,5,4,0,6.0,1
124306,125610,Male,disloyal Customer,32.0,Business travel,Business,814,2,2,2,4,3.0,2.0,4,3,1,5,4.0,1,4,3,12,14.0,1
99939,101192,Male,Loyal Customer,38.0,Personal Travel,Eco,775,3,5,2,4,3.0,2.0,1,3,1,5,4.0,4,1,3,21,12.0,1
90778,92031,Female,disloyal Customer,54.0,Business travel,Business,1535,4,4,4,1,1.0,4.0,1,1,3,4,4.0,4,4,1,6,0.0,0
51824,53070,Male,Loyal Customer,12.0,Personal Travel,Eco,1208,2,1,1,3,4.0,1.0,4,4,4,4,4.0,2,4,4,0,0.0,1
99045,100298,Female,disloyal Customer,60.0,Business travel,Business,1092,2,2,2,1,1.0,2.0,1,1,4,2,5.0,5,5,1,1,3.0,1
38079,38669,Female,Loyal Customer,9.0,Personal Travel,Eco,2588,1,5,1,3,3.0,1.0,3,3,4,2,4.0,5,5,3,5,0.0,1
56545,57791,Female,Loyal Customer,40.0,Business travel,Business,2704,3,3,2,3,5.0,5.0,5,3,2,5,4.0,5,5,5,7,0.0,0
101301,102554,Female,Loyal Customer,37.0,Personal Travel,Eco,386,2,5,2,2,3.0,2.0,3,3,4,2,5.0,3,5,3,9,12.0,1
96728,97981,Female,Loyal Customer,21.0,Personal Travel,Eco,483,3,0,3,3,3.0,3.0,1,3,3,5,5.0,4,4,3,0,0.0,1
3564,3655,Male,Loyal Customer,57.0,Business travel,Business,427,5,5,5,5,4.0,5.0,4,4,4,4,4.0,5,4,4,0,0.0,0
126020,127324,Male,Loyal Customer,53.0,Business travel,Business,2810,3,3,3,3,5.0,4.0,5,5,5,5,5.0,3,5,4,0,0.0,0
121658,122938,Female,Loyal Customer,59.0,Business travel,Business,507,5,5,3,5,2.0,4.0,5,4,4,4,4.0,5,4,5,0,0.0,0
26716,26979,Male,Loyal Customer,31.0,Business travel,Business,2026,2,2,2,2,2.0,2.0,2,2,3,5,3.0,5,3,2,25,21.0,0
23263,23508,Male,Loyal Customer,36.0,Business travel,Business,349,0,0,0,3,3.0,1.0,5,5,5,5,5.0,1,5,3,0,0.0,0
68168,69414,Female,Loyal Customer,47.0,Business travel,Eco,1089,3,4,4,4,1.0,4.0,3,3,3,3,3.0,2,3,2,55,24.0,1
10916,11060,Female,Loyal Customer,31.0,Personal Travel,Eco,224,4,2,4,4,5.0,4.0,5,5,2,2,3.0,2,3,5,4,1.0,1
111192,112445,Female,Loyal Customer,66.0,Business travel,Business,862,3,3,3,3,5.0,3.0,4,3,3,3,3.0,4,3,4,40,35.0,1
51280,52526,Male,disloyal Customer,23.0,Business travel,Eco,119,2,4,2,4,3.0,2.0,3,3,5,5,1.0,1,3,3,0,0.0,1
59357,60603,Male,disloyal Customer,37.0,Business travel,Business,991,1,1,1,3,5.0,1.0,5,5,5,4,5.0,4,5,5,1,0.0,1
62506,63752,Female,Loyal Customer,44.0,Personal Travel,Eco,1660,2,3,3,1,3.0,5.0,2,3,3,3,3.0,3,3,4,14,13.0,1
112460,113713,Male,Loyal Customer,50.0,Personal Travel,Eco,397,2,5,4,2,2.0,4.0,2,2,3,5,4.0,3,4,2,2,0.0,1
31675,32008,Male,Loyal Customer,24.0,Personal Travel,Business,102,3,3,3,2,1.0,3.0,1,1,5,1,3.0,1,5,1,0,0.0,1
92268,93521,Female,Loyal Customer,56.0,Business travel,Business,3565,3,3,3,3,5.0,4.0,5,4,4,4,4.0,4,4,4,0,9.0,0
122028,123308,Female,Loyal Customer,47.0,Business travel,Business,2894,5,5,5,5,3.0,5.0,4,5,5,5,5.0,5,5,4,0,0.0,0
4347,4439,Female,Loyal Customer,13.0,Personal Travel,Eco,762,2,5,2,1,1.0,2.0,1,1,4,4,5.0,4,4,1,7,5.0,1
110643,111896,Male,Loyal Customer,37.0,Personal Travel,Eco,628,1,5,1,2,1.0,1.0,1,5,3,5,5.0,1,5,1,166,164.0,1
14838,15012,Male,Loyal Customer,44.0,Business travel,Business,3284,1,1,4,1,2.0,5.0,3,4,4,4,4.0,1,4,5,0,0.0,0
18534,18716,Male,Loyal Customer,62.0,Personal Travel,Eco Plus,253,2,1,2,3,3.0,2.0,3,3,2,1,4.0,4,4,3,0,0.0,1
56963,58209,Male,Loyal Customer,21.0,Personal Travel,Eco,925,2,2,3,2,5.0,3.0,5,5,2,3,3.0,2,2,5,0,0.0,1
62850,64096,Female,Loyal Customer,64.0,Personal Travel,Eco,919,4,4,5,3,4.0,5.0,1,4,4,5,4.0,5,4,5,0,1.0,1
21253,21458,Female,disloyal Customer,32.0,Business travel,Eco,377,3,3,3,3,3.0,3.0,3,3,1,4,4.0,3,3,3,26,21.0,1
25769,26032,Male,Loyal Customer,33.0,Personal Travel,Eco,321,3,4,3,4,4.0,3.0,4,4,4,4,3.0,4,3,4,0,0.0,1
52355,53601,Male,Loyal Customer,69.0,Personal Travel,Eco,3801,1,5,1,1,1.0,4.0,4,3,4,3,5.0,4,5,4,15,0.0,1
65882,67128,Male,Loyal Customer,24.0,Business travel,Business,3384,2,2,4,2,2.0,2.0,2,2,2,1,4.0,3,4,2,2,4.0,1
87772,89025,Male,Loyal Customer,40.0,Business travel,Business,1947,4,4,4,4,4.0,5.0,5,4,4,4,4.0,5,4,3,5,22.0,0
14183,14340,Male,Loyal Customer,14.0,Personal Travel,Eco,395,1,5,2,1,2.0,2.0,2,4,4,5,4.0,2,4,2,519,516.0,1
114610,115863,Male,Loyal Customer,53.0,Business travel,Business,404,2,4,4,4,2.0,3.0,3,2,2,2,2.0,1,2,3,0,0.0,1
95512,96765,Male,disloyal Customer,19.0,Business travel,Business,994,5,0,5,4,5.0,5.0,5,5,5,5,4.0,5,5,5,0,0.0,0
117623,118876,Male,Loyal Customer,42.0,Business travel,Eco,1136,3,4,4,4,3.0,3.0,3,3,3,2,3.0,3,4,3,5,0.0,1
25542,25805,Female,Loyal Customer,37.0,Personal Travel,Eco,762,2,4,2,3,4.0,2.0,4,4,4,4,4.0,3,4,4,0,0.0,1
50459,51705,Female,Loyal Customer,48.0,Business travel,Business,1972,5,4,4,4,1.0,2.0,2,1,1,2,5.0,1,1,1,0,0.0,1
107558,108811,Male,Loyal Customer,48.0,Business travel,Business,404,2,2,2,2,4.0,5.0,5,5,5,5,4.0,5,4,5,144,135.0,0
109343,110596,Male,Loyal Customer,16.0,Personal Travel,Eco,674,2,4,2,4,3.0,2.0,4,3,2,5,3.0,4,3,3,9,22.0,1
64936,66182,Male,Loyal Customer,22.0,Business travel,Business,2883,3,3,3,3,5.0,5.0,5,5,4,3,4.0,4,4,5,22,21.0,0
40641,41305,Female,Loyal Customer,21.0,Business travel,Business,3284,4,4,4,4,5.0,5.0,5,5,5,3,4.0,4,4,5,0,0.0,0
74121,75367,Female,Loyal Customer,12.0,Personal Travel,Eco Plus,2504,1,1,1,4,5.0,1.0,5,5,4,1,4.0,1,4,5,53,47.0,1
45400,46154,Male,Loyal Customer,30.0,Business travel,Business,2075,2,2,2,2,4.0,4.0,4,4,5,5,1.0,3,1,4,119,104.0,0
93057,94310,Male,Loyal Customer,58.0,Business travel,Business,3676,4,4,4,4,5.0,4.0,4,4,4,4,4.0,3,4,3,2,3.0,0
3512,3603,Male,Loyal Customer,25.0,Personal Travel,Eco,999,2,5,2,2,2.0,2.0,2,2,3,3,5.0,5,5,2,0,0.0,1
4387,4479,Male,disloyal Customer,23.0,Business travel,Business,1147,5,0,5,1,2.0,5.0,2,2,5,2,5.0,4,4,2,0,0.0,0
55451,56697,Male,Loyal Customer,30.0,Personal Travel,Eco,937,3,5,3,5,3.0,2.0,1,2,3,2,1.0,1,2,1,123,164.0,1
68376,69622,Female,Loyal Customer,59.0,Personal Travel,Eco Plus,2475,5,4,5,3,4.0,4.0,4,3,4,4,4.0,4,2,4,0,0.0,0
76017,77263,Female,Loyal Customer,52.0,Business travel,Business,1590,2,2,3,2,4.0,4.0,4,5,5,5,5.0,5,5,4,4,0.0,0
84425,85678,Female,Loyal Customer,37.0,Business travel,Eco Plus,503,4,1,1,1,4.0,4.0,4,4,1,2,3.0,4,1,4,0,0.0,0
79349,80599,Female,Loyal Customer,42.0,Personal Travel,Eco Plus,1747,4,4,4,4,1.0,4.0,3,1,1,4,3.0,3,1,2,0,0.0,1
